3527,6738,924
6129,4909,851
5175,5309,290
2623,3047,319
3233,3606,529
4300,7252,643
5956,7023,935
2231,5330,660
3910,5119,749
5161,1549,400
5227,9748,828
6132,6512,649
6706,9215,726
3978,1517,897
2446,8908,722
2147,1696,910
2975,1327,845
7847,4506,219
4253,7056,532
3636,5377,905
6943,1038,68
6823,3035,905
2699,2831,739
2454,8145,249
6022,4089,903
4114,3108,935
7990,8923,413
2161,2703,108
2896,2186,277
5692,8646,606
6828,4634,40
3797,3211,800
2832,6825,920
2645,7263,306
2493,2964,23
3690,3682,191
4514,2941,694
5025,3347,696
2465,4101,43
2412,5514,474
2512,2319,303
3509,2418,639
4976,3451,896
2163,8869,751
2216,2063,807
6451,8262,487
5496,8667,552
3765,2013,836
7145,7919,485
3522,4379,900
7906,2114,809
5722,5307,678
5499,5408,335
2447,5045,634
4077,5078,129
3043,6834,455
4311,9753,670
5722,9980,379
4624,3554,795
7211,5335,472
5655,6981,745
7701,7543,107
4234,3104,8
7431,5746,755
3032,1788,475
3232,9573,886
3713,3196,249
6537,2517,317
7512,2703,52
7173,1707,402
5395,8452,86
2962,3992,505
3879,9998,152
6282,1823,425
3304,7905,208
2698,8059,779
5237,5193,421
7870,9243,395
4509,6488,559
2089,5280,587
4920,6437,340
3529,3261,116
7768,2696,645
3202,7367,406
5851,8406,974
6940,7743,388
2717,9221,694
3492,4285,495
3245,4580,293
2727,5612,970
6820,3669,727
3384,8864,595
2610,4523,903
7554,3129,169
2801,5592,780
2441,1330,102
4977,9414,330
2822,5105,779
3434,2186,31
2479,3458,157
5565,3620,664
6923,4541,796
6923,5925,114
3719,6259,62
5842,5452,470
4807,5201,195
5969,8116,293
5480,9892,288
2663,2855,810
3028,5759,732
4569,2539,791
3686,9598,100
7325,5270,596
5452,3070,911
6697,5528,997
7419,5302,890
3389,6031,133
3121,2445,46
7038,2082,790
2221,9136,398
3922,1486,880
6090,9387,968
7218,6747,958
4587,7322,401
7997,6790,529
5792,6125,71
3022,2145,782
2936,5303,844
2403,2211,176
5198,6293,633
2582,3911,453
6894,2578,124
3629,3284,415
7845,1980,408
3185,9026,434
7809,6805,693
3092,6297,845
4011,4358,46
6260,2839,535
2601,2146,973
5846,9524,16
2633,3174,968
7476,9470,374
5473,7008,668
6555,7187,929
2195,7156,559
6325,2735,600
2680,6508,228
3977,9138,550
4620,8123,560
6376,8702,823
